,open,high,low,close,volume
2022-01-01,0.8298,0.8557,0.8297,0.8507,136976730.0
2022-01-02,0.8508,0.8667,0.8372,0.8586,129688032.0
2022-01-03,0.8586,0.8587,0.8213,0.8324,178618617.0
2022-01-04,0.8324,0.8456,0.7794,0.8228,214415744.0
2022-01-05,0.8227,0.8372,0.7092,0.7726,370612510.0
2022-01-06,0.7725,0.7909,0.7377,0.7791,307202277.0
2022-01-07,0.779,0.7808,0.7287,0.7634,372926762.0
2022-01-08,0.7634,0.7768,0.7222,0.7452,253028571.0
2022-01-09,0.7452,0.7667,0.7381,0.753,151521399.0
2022-01-10,0.753,0.7589,0.6967,0.7399,313080154.0
2022-01-11,0.7399,0.7768,0.7306,0.7703,254065075.0
2022-01-12,0.7702,0.816,0.757,0.7987,295701910.0
2022-01-13,0.7986,0.8024,0.7604,0.768,227833834.0
2022-01-14,0.7677,0.8,0.7513,0.7732,221104212.0
2022-01-15,0.7733,0.79,0.768,0.7791,138443019.0
2022-01-16,0.7791,0.7884,0.768,0.7784,125068081.0
2022-01-17,0.7785,0.7805,0.7498,0.7617,181653025.0
2022-01-18,0.7616,0.7686,0.7352,0.7509,188367099.0
2022-01-19,0.751,0.7533,0.7231,0.7381,190555142.0
2022-01-20,0.7381,0.7622,0.7161,0.7199,205931050.0
2022-01-21,0.7199,0.7285,0.6112,0.6368,612944841.0
2022-01-22,0.6368,0.6542,0.5489,0.5966,769947907.12
2022-01-23,0.5966,0.6352,0.59,0.6283,331234207.0
2022-01-24,0.6284,0.6286,0.5524,0.6118,513343471.0
2022-01-25,0.6118,0.6243,0.5872,0.618,319618429.0
2022-01-26,0.6178,0.6586,0.6047,0.6193,466864710.0
2022-01-27,0.6193,0.6247,0.5893,0.6088,292543906.0
2022-01-28,0.6089,0.614,0.5916,0.6111,221009653.0
2022-01-29,0.6112,0.6255,0.6083,0.6174,154572094.0
2022-01-30,0.6175,0.6232,0.5973,0.6013,146491081.0
2022-01-31,0.6012,0.6242,0.5803,0.6174,213749309.0
2022-02-01,0.6174,0.6308,0.6107,0.6284,174300620.0
2022-02-02,0.6284,0.6314,0.5955,0.6006,186608762.0
2022-02-03,0.6006,0.6116,0.5886,0.6102,168129675.0
2022-02-04,0.6101,0.6589,0.6044,0.6555,263927174.0
2022-02-05,0.6557,0.6869,0.65,0.6656,310296779.0
2022-02-06,0.6656,0.688,0.6589,0.6825,157303166.0
2022-02-07,0.6825,0.839,0.6712,0.8314,640917209.0
2022-02-08,0.8314,0.9142,0.8034,0.8763,1048879447.0
2022-02-09,0.8763,0.9168,0.8413,0.8697,626331950.0
2022-02-10,0.8699,0.8975,0.821,0.8253,495010890.0
2022-02-11,0.8253,0.8339,0.75,0.7591,482432190.0
2022-02-12,0.759,0.8532,0.7465,0.8223,477906804.0
2022-02-13,0.8223,0.8476,0.792,0.8057,351589704.0
2022-02-14,0.8057,0.8127,0.7791,0.8012,304006647.0
2022-02-15,0.8012,0.8599,0.7961,0.8515,279317316.0
2022-02-16,0.8514,0.8532,0.8086,0.8366,252745706.0
2022-02-17,0.8367,0.8448,0.7535,0.769,375190546.0
2022-02-18,0.7689,0.8055,0.756,0.784,417945743.0
2022-02-19,0.7841,0.8547,0.7696,0.8215,492929500.0
2022-02-20,0.8215,0.8234,0.7643,0.7769,495454770.0
2022-02-21,0.7769,0.802,0.6953,0.7018,621650777.0
2022-02-22,0.7018,0.7266,0.6686,0.7209,597541290.0
2022-02-23,0.7209,0.7441,0.6924,0.6967,438023003.0
2022-02-24,0.6967,0.7226,0.6215,0.6963,986343826.0
2022-02-25,0.6962,0.7807,0.6826,0.7699,557343038.0
2022-02-26,0.7698,0.7955,0.7403,0.7508,520451349.0
2022-02-27,0.7508,0.7677,0.7032,0.7215,441252224.0
2022-02-28,0.7216,0.7938,0.7075,0.7809,444617964.0
2022-03-01,0.7809,0.8039,0.7574,0.7839,392126769.0
2022-03-02,0.784,0.7848,0.7562,0.7687,377602100.0
2022-03-03,0.7688,0.7897,0.7336,0.7515,339295156.0
2022-03-04,0.7514,0.755,0.6942,0.7127,382831997.0
2022-03-05,0.7127,0.7693,0.7049,0.754,358200609.0
2022-03-06,0.7539,0.7589,0.7211,0.7251,304732286.0
2022-03-07,0.7252,0.7544,0.7033,0.7197,496407111.0
2022-03-08,0.7196,0.7313,0.7135,0.7207,293749434.0
2022-03-09,0.7208,0.775,0.7199,0.7658,397032109.0
2022-03-10,0.7659,0.7797,0.7215,0.7361,397850898.0
2022-03-11,0.7361,0.814,0.725,0.8029,526984782.0
2022-03-12,0.8028,0.849,0.7783,0.7857,589059126.0
2022-03-13,0.7857,0.8057,0.7508,0.7602,311279578.0
2022-03-14,0.7602,0.7779,0.745,0.7748,326606464.0
2022-03-15,0.7747,0.7768,0.7413,0.7657,243756136.0
2022-03-16,0.7658,0.7945,0.7569,0.7919,350641035.0
2022-03-17,0.7919,0.802,0.783,0.7935,264101320.0
2022-03-18,0.7936,0.8007,0.7762,0.7965,222661984.0
2022-03-19,0.7964,0.8268,0.7915,0.8194,248947590.0
2022-03-20,0.8195,0.822,0.795,0.8057,185090508.0
2022-03-21,0.8057,0.8549,0.7875,0.8373,316427663.0
2022-03-22,0.8372,0.8653,0.8273,0.8366,305184306.0
2022-03-23,0.8366,0.846,0.8171,0.8376,235024475.0
2022-03-24,0.8376,0.85,0.8272,0.8428,282122073.0
2022-03-25,0.8428,0.8459,0.8185,0.8239,214450998.0
2022-03-26,0.8239,0.8349,0.8206,0.8327,122433652.0
2022-03-27,0.8326,0.8582,0.8275,0.858,198619688.0
2022-03-28,0.8579,0.93,0.8528,0.8641,479199201.0
2022-03-29,0.864,0.8857,0.8389,0.8577,264756291.0
2022-03-30,0.8576,0.8718,0.8455,0.8613,201046259.0
2022-03-31,0.8613,0.8737,0.7794,0.8148,366939277.0
2022-04-01,0.8149,0.8343,0.807,0.8277,254001232.0
2022-04-02,0.8277,0.8499,0.8185,0.824,210041825.0
2022-04-03,0.824,0.8519,0.8143,0.8432,159520162.0
2022-04-04,0.8432,0.844,0.8041,0.826,216740017.0
2022-04-05,0.8261,0.8366,0.8145,0.8164,174779509.0
2022-04-06,0.8164,0.8184,0.7555,0.7595,348686323.0
2022-04-07,0.7594,0.7911,0.7523,0.7871,196211648.0
2022-04-08,0.787,0.7944,0.7463,0.7549,210639194.0
2022-04-09,0.755,0.7668,0.7531,0.7622,102131244.0
2022-04-10,0.7623,0.7731,0.7524,0.7543,123028708.0
2022-04-11,0.7543,0.7558,0.6802,0.6948,354459252.0
2022-04-12,0.6949,0.734,0.6924,0.7152,263088987.0
2022-04-13,0.7151,0.7252,0.7017,0.7232,217937566.0
2022-04-14,0.7232,0.7413,0.7083,0.7262,239629937.0
2022-04-15,0.7262,0.7975,0.7261,0.7858,439676502.0
2022-04-16,0.7859,0.7999,0.7658,0.7808,206493032.0
2022-04-17,0.7808,0.7861,0.7477,0.7519,188468510.0
2022-04-18,0.7519,0.7699,0.7266,0.7699,257757252.0
2022-04-19,0.7698,0.786,0.7588,0.7749,199132020.0
